Loan_ID,Business_Type,Repayment_Frequency,City_Tier,Repeat_Borrower,Group_Loan,Loan_Amount,Interest_Rate_pct,Tenure_Months,Income_Monthly,Credit_Score,Collateral_Value,Distance_to_Branch_km,Financial_Literacy_Score,Repayment_Time_Days
L808760,Grocery,Monthly,Tier1,1,1,90981.07,11.12,11,44556.73,677.0,48989.89,3.5,70.5,302.9
L807631,Grocery,Weekly,Rural,0,0,52050.04,19.13,6,11535.04,565.0,37429.0,7.4,39.5,196.9
L805437,Farming,Monthly,Tier3,0,1,894734.1599865719,19.27,19,90672.13,659.0,0.0,3.6,61.3,528.3
L802783,Services,Biweekly,Rural,0,1,285382.4,8.0,21,59268.2,674.0,256002.02,5.5,62.1,582.7
L809188,Grocery,Biweekly,Tier2,1,0,91499.4,13.08,10,62115.1,690.0,28557.46,3.7,77.2,229.0
L807031,Services,Weekly,Tier3,0,1,40919.8,17.6,13,57603.51,590.0,18448.81,2.7,77.2,347.4
L800924,Farming,Weekly,Tier2,1,1,53061.87,19.59,22,,634.0,11638.02,0.2,67.4,621.7
L800789,Food Stall,Monthly,Tier1,1,1,49648.67,15.26,13,48257.12,753.0,23087.76,7.4,74.3,360.4
L807953,Food Stall,Monthly,Tier3,1,0,60668.87,15.91,14,49914.9,609.0,9055.14,5.5,96.4,359.8
L802291,Farming,Biweekly,Tier1,0,0,50110.71,17.65,15,75186.06,604.0,16411.21,3.8,70.7,396.5
L801238,Handicraft,weekly,Tier3,0,0,129155.01,9.4,25,36942.05,537.0,69698.25,5.7,65.4,726.2
L808251,Farming,Weekly,Tier1,0,0,108129.94,15.35,19,36452.78,683.0,48818.68,2.3,72.3,492.1
L807982,Farming,Biweekly,Rural,0,0,55827.92,19.33,13,30474.74,575.0,8953.78,4.5,66.1,340.7
L803973,Farming,Weekly,Tier3,1,0,78049.99,18.32,17,40251.62,835.0,4905.12,7.2,71.5,499.9
L809380,Food Stall,Monthly,Tier1,1,0,89472.71,18.47,14,36095.56,603.0,44020.23,5.2,84.8,399.1
L802318,Services,Biweekly,Tier3,1,0,46163.9,10.72,14,46703.28,659.0,13806.44,3.0,68.0,417.4
L801703,Food Stall,Monthly,Tier2,0,0,99116.15,12.04,15,51286.09,536.0,33982.75,3.3,48.8,439.8
L807578,Food Stall,Weekly,Tier3,1,1,83963.26,9.53,18,34303.34,647.0,31324.22,5.8,49.8,496.8
L809379,Tailoring,Weekly,Tier2,0,1,94533.66,22.69,12,49996.98,573.0,3578.63,1.1,62.8,354.2
L802802,Services,Biweekly,Rural,1,0,58035.37,9.19,12,32707.43,581.0,10630.92,7.1,79.6,318.4
L806365,Tailoring,Biweekly,Tier3,1,1,48932.39,10.66,22,32099.18,736.0,27479.81,0.0,66.3,618.0
L802035,Farming,Weekly,Tier3,1,1,85935.38,13.97,18,26413.18,587.0,42854.49,5.1,79.1,492.5
L801550,Farming,Monthly,Rural,0,1,161647.18,12.66,12,49303.8,642.0,47739.62,8.0,54.1,345.0
L800047,Handicraft,Weekly,Tier2,1,0,59521.88,8.0,10,55957.86,590.0,18203.5,2.8,57.6,262.0
L805471,Grocery,Monthly,Tier2,1,0,36244.58,12.46,22,72316.47,645.0,9924.87,3.8,45.7,623.8
L809303,Food Stall,Weekly,Tier2,1,0,67142.01,13.92,14,36351.41,780.0,41804.46,2.6,75.2,360.8
L808400,Farming,Weekly,Tier3,0,0,39917.04,21.99,14,42961.16,709.0,16994.97,4.8,83.1,384.4
L805648,Grocery,Weekly,Tier2,0,1,99394.61,26.88,11,45500.84,550.0,29635.17,5.5,73.6,288.4
L805526,Farming,Weekly,Tier2,0,0,52625.13,20.31,8,30261.09,609.0,0.0,8.9,65.3,220.8
L801075,Farming,Monthly,Tier1,0,1,94375.45,18.73,14,35425.06,641.0,19284.94,4.1,90.1,392.8
L805077,Grocery,Weekly,tier2,1,1,33897.98,14.22,9,29057.91,592.0,5666.52,0.0,72.2,194.8
L804462,Tailoring,Weekly,Tier2,0,1,18763.68,17.46,10,87183.88,663.0,9937.51,7.8,69.5,243.5
L803159,Farming,Biweekly,Tier1,1,1,292114.75,24.64,13,93161.85,630.0,79073.0,4.5,85.9,336.2
L802613,Services,Weekly,Tier3,1,1,63053.1,12.51,9,55048.48,625.0,9709.33,5.3,80.2,237.2
L803606,farming,Weekly,Tier3,0,0,146928.24,15.07,12,53079.08,731.0,6143.33,3.2,45.6,339.2
L801076,Farming,Biweekly,tier3,0,0,72872.92,13.42,14,42626.62,628.0,38588.54,2.5,43.0,402.4
L803784,Farming,Monthly,Tier2,1,1,26953.15,13.58,14,32369.43,545.0,3591.07,4.3,62.3,386.6
L808412,Farming,Biweekly,Tier3,0,0,114886.16,16.64,13,,611.0,87964.74,5.8,70.8,324.1
L804352,Tailoring,Biweekly,Tier3,1,0,84005.57,21.01,12,40242.05,772.0,29776.24,4.8,79.1,345.6
L802888,Services,Weekly,Rural,1,1,67146.55,18.49,6,21448.73,739.0,16433.42,4.9,82.6,145.1
L801295,Farming,Weekly,Rural,0,0,125948.14,18.67,3,66369.24,624.0,82073.86,5.9,66.7,72.5
L800403,Tailoring,weekly,Tier3,0,1,52314.04,17.91,23,4000.0,686.0,0.0,4.3,45.3,714.2
L802217,Food Stall,Weekly,Tier3,0,0,34994.56,9.05,13,,657.0,5017.23,5.8,63.8,352.6
L801011,Services,Biweekly,Rural,0,0,97235.05,24.56,20,37870.17,630.0,5366.56,2.8,72.7,575.8
L803326,farming,Monthly,Tier3,1,1,38564.22,21.51,5,51200.62,631.0,0.0,5.7,57.2,104.0
L801968,grocery,Monthly,Tier2,0,1,38807.71,10.95,10,35427.34,681.0,16448.33,3.2,63.7,309.3
L801440,Food Stall,Monthly,Rural,1,0,41879.18,20.69,20,37155.04,683.0,25644.23,5.8,87.7,565.5
L809587,Tailoring,Biweekly,Tier2,0,0,86042.7,14.81,17,40264.51,625.0,53516.0,3.7,72.9,470.1
L808345,Tailoring,Biweekly,Tier1,1,1,93638.25,8.0,9,36441.79,635.0,2273.07,6.4,68.5,226.9
L809251,Food Stall,Weekly,Tier3,0,1,22710.98,16.04,13,16531.99,652.0,10213.4,2.7,57.1,339.7
L805462,Handicraft,Biweekly,Rural,1,0,41539.58,16.19,10,28371.52,657.0,8835.04,7.3,91.8,291.3
L805728,Services,Weekly,Tier1,0,0,65357.47,11.59,15,50599.82,665.0,26269.89,2.0,41.1,407.2
L809257,farming,Monthly,Tier3,0,1,51556.19,18.45,19,27160.52,654.0,17565.33,4.3,79.7,548.0
L807116,Handicraft,Weekly,Tier2,0,1,56717.79,23.7,18,36670.56,735.0,26997.23,2.1,50.4,549.8
L803280,Farming,Weekly,Tier2,1,0,177680.07,12.98,9,28804.01,582.0,108773.37,2.9,91.0,231.6
L802941,Grocery,Weekly,Rural,1,0,110627.91,17.6,14,27550.19,661.0,20805.71,6.5,73.4,423.4
L805197,Food Stall,Weekly,Tier3,1,1,15552.88,18.87,11,25141.43,585.0,9216.7,4.9,59.9,293.3
L805442,Food Stall,Weekly,Tier3,0,1,89499.83,22.14,4,13258.37,570.0,0.0,3.7,75.9,116.1
